Tray Code,Batch ID,Varietal,Harvest Date,Seeded Tray Quantity,Harvest Tray Quantity,Destroyed Trays,Total Harvest Yield (oz),Last Subzone
sor-red-D-12Jul,sor-red-D-12Jul22,"Sorrel, Red-Veined (D)",2022-08-08 9:58,32,32,0,119.5,PIPP3E6
cel-uth-C-15Jul,cel-uth-C-15Jul22,Celery (C),2022-08-08 10:05,9,9,0,56,PIPP3C7
par-flt-C-18Jul,par-flt-C-18Jul22,"Parsley, Italian Flat (C)",2022-08-08 10:00,30,30,0,77.5,PIPP3C1
cil-spl-C-18Jul,cil-spl-C-18Jul22,"Cilantro, Split (C)",2022-08-08 11:34,25,25,0,121.5,PIPP3C3
bas-ita-D-18Jul,bas-ita-D-18Jul22,"Basil, Italian Large Leaf (D)",2022-08-08 15:15,3,3,0,16,PIPP3M1
let-rom-D-19Jul,let-rom-D-19Jul22,"Lettuce, Romaine 'Parris Island' (D)",2022-08-08 8:57,38,38,0,482.5,Cabinet03
pak-rub-D-21Jul,pak-rub-D-21Jul22,"Pak Choi, Rubi (D)",2022-08-08 9:43,45,45,0,493.5,PIPP1H6
car-mcg-C-25Jul,car-mcg-C-25Jul22,Carrot micros (C),2022-08-08 10:30,5,5,0,11.5,PIPP3A1
was-mus-B-01Aug,was-mus-B-01Aug22,Wasabi (B),2022-08-08 11:09,6,6,0,30,PIPP4A1
let-rom-D-20Jul-2,let-rom-D-20Jul-222,"Lettuce, Romaine 'Parris Island' (D)",2022-08-09 8:43,38,38,0,450,PIPP1G3
pak-rub-D-22Jul-2,pak-rub-D-22Jul-222,"Pak Choi, Rubi (D)",2022-08-09 8:54,45,45,0,412.5,PIPP1J7
bro-wal-B-01Aug,bro-wal-B-01Aug22,Broccoli Waltham 29 (B),2022-08-09 9:08,6,6,0,35,PIPP3A7
koh-pur-B-01Aug,koh-pur-B-01Aug22,"Kohlrabi, Purple Vienna (B)",2022-08-09 10:02,9,9,0,52,PIPP3B4
mus-mix-B-01Aug,mus-mix-B-01Aug22,Mustard Micro Mix (B),2022-08-09 9:51,2,2,0,19.4,PIPP3B3
sun-blk-B-01Aug,sun-blk-B-01Aug22,"Sunflower, Black Oil (B)",2022-08-09 8:32,32,32,0,159,PIPP4A3
rad-dai-B-02Aug,rad-dai-B-02Aug22,"Radish, Daikon (B)",2022-08-09 8:59,12,12,0,95,PIPP3B2
rad-red-B-02Aug,rad-red-B-02Aug22,"Radish, Red Arrow (B)",2022-08-09 10:03,16,16,0,130.8,PIPP3B2
sor-red-D-14Jul,sor-red-D-14Jul22,"Sorrel, Red-Veined (D)",2022-08-10 11:40,32,32,0,145,PIPP3E4
miz-rst-D-25Jul,miz-rst-D-25Jul22,"Mizuna, Red Streaks (D)",2022-08-10 10:34,12,12,0,108.5,PIPP1H4
kal-mix-D-25Jul,kal-mix-D-25Jul22,"Kale, Mix (Scotch, Red Russian, Lacinato)",2022-08-10 10:04,138,138,0,666.5,PIPP1E1
miz-rst-D-25Jul-2,miz-rst-D-25Jul-222,"Mizuna, Red Streaks (D)",2022-08-10 11:04,18,18,0,68.5,PIPP3J2
